x=[ 0.5  0.5] t=1 target value=1.2499999999932498
x=[ 0.47209302  0.36744186] t=1.1 target value=0.014970254191457144
x=[ 0.47201998  0.36725739] t=1.2100000000000002 target value=0.01476103931383932
x=[ 0.47351575  0.36519903] t=1.3310000000000004 target value=0.012987026313108885
x=[ 0.47499101  0.36321402] t=1.4641000000000006 target value=0.011391897594279499
x=[ 0.47643914  0.36130404] t=1.6105100000000008 target value=0.009961783785641387
x=[ 0.47785324  0.35947175] t=1.771561000000001 target value=0.0086844633948715
x=[ 0.47922732  0.35771916] t=1.9487171000000014 target value=0.007548006913253857
x=[ 0.48055635  0.35604768] t=2.1435888100000016 target value=0.006540803096171999
x=[ 0.48183619  0.35445808] t=2.357947691000002 target value=0.005651605829619655
x=[ 0.48306361  0.35295052] t=2.5937424601000023 target value=0.004869592456138605
x=[ 0.48423621  0.3515246 ] t=2.853116706110003 target value=0.004184424664941844
x=[ 0.48535238  0.35017938] t=3.1384283767210035 target value=0.0035863051163147475
x=[ 0.48641121  0.34891343] t=3.4522712143931042 target value=0.003066024999675676
x=[ 0.48741244  0.3477249 ] t=3.797498335832415 target value=0.0026149995781246105
x=[ 0.48835636  0.34661157] t=4.177248169415656 target value=0.0022252903570887383
x=[ 0.48924378  0.34557093] t=4.594972986357222 target value=0.0018896137838382288
x=[ 0.49007589  0.34460019] t=5.054470284992944 target value=0.0016013373280756582
x=[ 0.49085424  0.3436964 ] t=5.559917313492239 target value=0.001354464431823743
x=[ 0.49158066  0.34285646] t=6.115909044841463 target value=0.0011436101866841852
x=[ 0.49225718  0.34207717] t=6.72749994932561 target value=0.0009639697463015295
x=[ 0.492886   0.3413553] t=7.400249944258172 target value=0.0008112814635623522
x=[ 0.49346942  0.34068761] t=8.140274938683989 target value=0.0006817866040904619
x=[ 0.49400981  0.34007088] t=8.954302432552389 target value=0.0005721872733417399
x=[ 0.49450957  0.33950195] t=9.849732675807628 target value=0.0004796039412013897
x=[ 0.49497108  0.33897775] t=10.834705943388391 target value=0.0004015336814688908
x=[ 0.49539672  0.3384953 ] t=11.91817653772723 target value=0.0003358099859269714
x=[ 0.4957888   0.33805171] t=13.109994191499954 target value=0.0002805647767694097
x=[ 0.49614955  0.33764425] t=14.420993610649951 target value=0.00023419303396821078
x=[ 0.49648113  0.3372703 ] t=15.863092971714948 target value=0.00019532028074564778
x=[ 0.49678562  0.33692738] t=17.449402268886445 target value=0.00016277302903233704
x=[ 0.49706498  0.33661315] t=19.19434249577509 target value=0.0001355521775501245
x=[ 0.49732109  0.33632541] t=21.1137767453526 target value=0.00011280927306955846
x=[ 0.49755571  0.33606208] t=23.22515441988786 target value=9.382548778802402e-05
x=[ 0.49777049  0.33582123] t=25.54766986187665 target value=7.799312797729385e-05
x=[ 0.497967    0.33560107] t=28.102436848064315 target value=6.479946737414366e-05
x=[ 0.49814668  0.3353999 ] t=30.91268053287075 target value=5.3812689181143014e-05
x=[ 0.4983109   0.33521618] t=34.003948586157826 target value=4.466972112027179e-05
x=[ 0.49846091  0.33504846] t=37.40434344477361 target value=3.7065754348475366e-05
x=[ 0.49859789  0.3348954 ] t=41.14477778925097 target value=3.074524851953697e-05
x=[ 0.49872291  0.33475577] t=45.25925556817607 target value=2.5494239700663002e-05
x=[ 0.49883699  0.33462843] t=49.785181124993684 target value=2.113378334911431e-05
x=[ 0.49894104  0.33451232] t=54.76369923749306 target value=1.751438085761947e-05
x=[ 0.49903591  0.3344065 ] t=60.24006916124237 target value=1.4511254754268066e-05
x=[ 0.49912241  0.33431006] t=66.26407607736661 target value=1.2020352457398076e-05
x=[ 0.49920123  0.33422219] t=72.89048368510328 target value=9.954973720027738e-06
x=[ 0.49927305  0.33414216] t=80.17953205361361 target value=8.242929752100281e-06
x=[ 0.49933849  0.33406927] t=88.19748525897498 target value=6.824154539231131e-06
x=[ 0.49939808  0.33400289] t=97.01723378487249 target value=5.648699445970351e-06
x=[ 0.49945235  0.33394246] t=106.71895716335975 target value=4.675052121427825e-06
x=[ 0.49950177  0.33388745] t=117.39085287969573 target value=3.868729045564123e-06
x=[ 0.49954675  0.33383737] t=129.1299381676653 target value=3.2010985648867063e-06
x=[ 0.4995877  0.3337918] t=142.04293198443185 target value=2.648397867233143e-06
x=[ 0.49962497  0.33375032] t=156.24722518287504 target value=2.1909124825469917e-06
x=[ 0.49965889  0.33371259] t=171.87194770116255 target value=1.8122922966767874e-06
x=[ 0.49968976  0.33367825] t=189.05914247127882 target value=1.4989817458399557e-06
x=[ 0.49971784  0.33364701] t=207.96505671840671 target value=1.239745330394726e-06
x=[ 0.49974339  0.33361859] t=228.7615623902474 target value=1.0252730326953952e-06
x=[ 0.49976664  0.33359274] t=251.63771862927217 target value=8.478521351662494e-07
x=[ 0.49978779  0.33356922] t=276.80149049219943 target value=7.01094606370134e-07
x=[ 0.49980702  0.33354783] t=304.4816395414194 target value=5.797105728788665e-07
x=[ 0.49982452  0.33352838] t=334.9298034955614 target value=4.793203771669141e-07
x=[ 0.49984043  0.33351068] t=368.4227838451175 target value=3.9629849268862927e-07
x=[ 0.49985491  0.33349459] t=405.2650622296293 target value=3.2764418733677303e-07
